Date,BlockP,BlockT,C1P,C1T,C1L,C2P,C2T,C2interfacial_L,С2petrol_L,OH_T,OH_interfacial_L,OH_P,C3T,C3L,P1Tinput,P1Toutput,P1Pinput,P1Poutput,P1Тcoolant,P1Tgases,P1Рburner,P2Tinput,P2Toutput,P2Pinput,P2Poutput,P2Tcoolant,P2Tgases,P2Pburner,Water,Vlagomer,BEV1L,BEV1V_water,BEV1V_petrol,BEV1T_water
2022-01-05 06:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.94703054,0.55,0.62,0.40789473,0.505535,0.99999994,0.33591732,0.89552236,0.57894737,0.632653,0.507365,0.93984973,1.0,0.13867746,0.14,,,,
2022-01-05 08:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.94703054,0.55,0.62,0.40789473,0.49815494,0.99999994,0.33591732,0.89552236,0.57894737,0.632653,0.507365,0.8947369,1.0,0.13681887,0.14,,,,
2022-01-05 10:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.94703054,0.55,0.62,0.40789473,0.46863464,0.99999994,0.33591732,0.89552236,0.57894737,0.632653,0.507365,0.8345865,1.0,0.13635907,0.15,,,,
2022-01-05 12:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.94703054,0.55,0.62,0.40789473,0.46863464,0.99999994,0.33591732,0.89552236,0.57894737,0.632653,0.507365,0.8345865,1.0,0.13283405,0.18,,,,
2022-01-05 14:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.94703054,0.55,0.62,0.40789473,0.47970474,0.99999994,0.33591732,0.89552236,0.57894737,0.632653,0.507365,0.85338354,1.0,0.13324517,0.15,,,,
2022-01-05 16:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.94703054,0.55,0.62,0.40789473,0.47970474,0.99999994,0.33591732,0.89552236,0.57894737,0.632653,0.507365,0.85338354,1.0,0.13894019,0.17,,,,
2022-01-05 18:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.94703054,0.55,0.62,0.40789473,0.49815494,0.99999994,0.33591732,0.89552236,0.57894737,0.632653,0.507365,0.8646617,1.0,0.13413556,0.17,,,,
2022-01-05 20:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.94703054,0.55,0.62,0.40789473,0.5719557,0.99999994,0.33591732,0.89552236,0.57894737,0.632653,0.507365,0.66503763,1.0,0.14745475,0.14,,,,
2022-01-06 00:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.94703054,0.55,0.62,0.40789473,0.98523974,0.99999994,0.33591732,0.89552236,0.57894737,0.632653,0.507365,0.50375944,1.0,0.14192516,0.13,,,,
2022-01-06 02:00:00,0.3913043,0.0,0.4117648,0.12499997,0.25210083,0.6122449,0.9285714,0.39999995,0.4,0.25,1.0,0.6153846,1.0,0.33333337,0.33678758,0.94703054,0.55,0.62,0.40789473,0.49446487,0.99999994,0.33591732,0.89552236,0.57894737,0.632653,0.507365,0.49248126,1.0,0.3941744,0.15,,,,
