Date,BlockP,BlockT,C1P,C1T,C1L,C2P,C2T,C2interfacial_L,С2petrol_L,OH_T,OH_interfacial_L,OH_P,C3T,C3L,P1Tinput,P1Toutput,P1Pinput,P1Poutput,P1Тcoolant,P1Tgases,P1Рburner,P2Tinput,P2Toutput,P2Pinput,P2Poutput,P2Tcoolant,P2Tgases,P2Pburner,BEV1L,BEV1V_water,BEV1V_petrol,BEV1T_water,Water,Vlagomer
2023-02-27 06:00:00,0.11764693,0.33333334,0.38461533,0.2857141,0.1509434,0.695652,0.50000006,0.33333334,0.6666667,0.63190186,0.53333336,1.0,0.8571428,0.0,0.3902439,0.85714287,0.098181814,0.9107143,0.86490685,0.89668024,1.0,0.4032258,0.8605769,0.8666666,0.875,0.86676866,0.46856126,0.0,0.3494624,0.3387198,0.0,0.0,0.30934346,0.1
2023-02-27 08:00:00,0.35294116,0.33333334,0.6153847,0.2857141,0.1509434,0.695652,0.50000006,0.33333334,0.6666667,0.69325155,0.4666667,1.0,0.8571428,0.0,0.44715446,0.8341543,0.098181814,0.9107143,0.85714287,0.44722116,0.0,0.44623658,0.8926282,0.8666666,0.875,0.9096477,0.53250444,0.0,0.4247312,0.41875505,0.0,0.0,0.3170668,0.08
2023-02-27 10:00:00,0.2352942,0.33333334,0.4615383,0.2857141,0.1509434,0.695652,0.50000006,0.33333334,0.6666667,0.63190186,0.40000004,1.0,0.8095238,0.0,0.41734415,0.8456486,0.098181814,0.9107143,0.8586956,0.4364043,0.0,0.4247312,0.84134614,0.8666666,0.875,0.85145473,0.4543517,0.0,0.5215054,0.52260846,0.0,0.0,0.29807323,0.1
2023-02-27 12:00:00,0.41176462,0.33333334,0.6153847,0.2857141,0.1509434,0.73913044,0.50000006,0.33333334,0.6666667,0.7546012,0.6,1.0,0.8571428,0.0,0.43360433,0.85878485,0.098181814,0.9107143,0.871118,0.45057812,0.0,0.43817204,0.89903843,0.8666666,0.875,0.91117907,0.515453,0.0,0.65053767,0.66029114,0.0,0.0,0.30010206,0.12
2023-02-27 14:00:00,0.35294116,0.33333334,0.5384613,0.2857141,0.1509434,0.73913044,0.54545456,0.33333334,0.6666667,0.63190186,0.6,1.0,0.8571428,0.0,0.4119241,0.88505745,0.098181814,0.9107143,0.88975155,0.45841104,0.0,0.4139785,0.8974359,0.8666666,0.875,0.8621745,0.46287745,0.0,0.7258065,0.7388962,0.0,0.0,0.33188382,0.11
2023-02-27 16:00:00,0.41176462,0.33333334,0.6153847,0.2857141,0.1509434,0.73913044,0.50000006,0.33333334,0.6666667,0.63190186,0.6,1.0,0.8571428,0.0,0.43631434,0.8916256,0.098181814,0.9107143,0.90372676,0.47967178,0.0,0.4408602,0.89903843,0.8666666,0.875,0.9050535,0.5133215,0.0,0.20430112,0.18910137,0.0,0.0,0.28894374,0.1
2023-02-27 18:00:00,0.35294116,0.33333334,0.5384613,0.2857141,0.1509434,0.695652,0.50000006,0.33333334,0.6666667,0.7546012,0.6,1.0,0.8571428,0.0,0.44444442,0.8883415,0.098181814,0.9107143,0.9052795,0.4904886,0.0,0.4354839,0.8782051,0.8666666,0.875,0.8866768,0.528952,0.0,0.27419358,0.260128,0.0,0.0,0.29125234,0.1
2023-02-27 20:00:00,0.2352942,0.33333334,0.5384613,0.2857141,0.1509434,0.695652,0.50000006,0.33333334,0.6666667,0.7546012,0.6,1.0,0.8571428,0.0,0.43631434,0.89983577,0.09454545,0.8750001,0.8524845,0.5434539,0.0,0.4516129,0.8733974,0.8833333,0.89285713,0.883614,0.49982238,0.0,0.3655914,0.35577476,0.0,0.0,0.33217764,0.08
2023-02-28 00:00:00,0.35294116,0.33333334,0.69230765,0.2857141,0.1509434,0.695652,0.50000006,0.33333334,0.6666667,0.7546012,0.6,1.0,0.8571428,0.0,0.43631434,0.8472906,0.092727266,0.8750001,0.8664596,0.45244312,0.0,0.4408602,0.8580128,0.8833333,0.875,0.9173047,0.6710479,0.0,0.53763443,0.5399174,0.0,0.0,0.32480896,0.12
2023-02-28 02:00:00,0.2352942,0.33333334,0.5384613,0.2857141,0.1509434,0.73913044,0.50000006,0.33333334,0.6666667,0.69325155,0.53333336,1.0,0.8571428,0.0,0.4119241,0.8981937,0.096363634,0.8928572,0.90993786,0.5893323,0.0,0.4139785,0.900641,0.84999996,0.85714287,0.9127105,0.49378332,0.0,0.65053767,0.66029114,0.0,0.0,0.33559936,0.11
2023-02-28 04:00:00,0.29411766,0.33333334,0.6153847,0.2857141,0.16981132,0.695652,0.50000006,0.33333334,0.6666667,0.69325155,0.4666667,1.0,0.8571428,0.0,0.44715446,0.8866995,0.09454545,0.8750001,0.92701864,0.66281235,0.0,0.45967746,0.87660253,0.8833333,0.89285713,0.8958652,0.54777974,0.0,0.74731183,0.76099014,0.0,0.0,0.36546046,0.12
2023-02-28 06:00:00,0.4705884,0.33333334,0.6153847,0.2857141,0.16981132,0.695652,0.50000006,0.33333334,0.6666667,0.69325155,0.6,1.0,0.8571428,0.0,0.42547423,0.9211822,0.09454545,0.8750001,0.9254658,0.67661315,0.0,0.43010753,0.86217946,0.8833333,0.89285713,0.8683001,0.47211367,0.0,0.82258064,0.83661467,0.0,0.0,0.2994259,0.11
2023-02-28 08:00:00,0.35294116,0.33333334,0.5384613,0.2857141,0.16981132,0.695652,0.50000006,0.33333334,0.6666667,0.69325155,0.6,1.0,0.8571428,0.0,0.43631434,0.8407225,0.09454545,0.8750001,0.85559005,0.45691904,0.0,0.43817204,0.8317308,0.8833333,0.89285713,0.8422664,0.462167,0.0,0.9086021,0.9189355,0.0,0.0,0.3908361,0.12
2023-02-28 10:00:00,0.41176462,0.33333334,0.5384613,0.2857141,0.16981132,0.695652,0.50000006,0.33333334,0.6666667,0.69325155,0.4666667,1.0,0.8571428,0.0,0.41463417,0.85878485,0.09454545,0.8750001,0.8742236,0.45841104,0.0,0.41935486,0.88782054,0.8833333,0.89285713,0.89739656,0.49058616,0.0,0.74731183,0.76099014,0.0,0.0,0.31451613,0.11
2023-02-28 12:00:00,0.35294116,0.33333334,0.6153847,0.2857141,0.16981132,0.695652,0.50000006,0.33333334,0.6666667,0.63190186,0.53333336,1.0,0.8571428,0.0,0.40650406,0.86206895,0.09454545,0.8750001,0.878882,0.46176797,0.0,0.4166667,0.84455127,0.8833333,0.89285713,0.8621745,0.9200711,0.99999994,0.17204303,0.15714344,0.0,0.0,0.34304792,0.13
2023-02-28 14:00:00,0.29411766,0.33333334,0.5384613,0.2857141,0.16981132,0.695652,0.50000006,0.33333334,0.6666667,0.7546012,0.4666667,1.0,0.8571428,0.0,0.44715446,0.8784893,0.09454545,0.8750001,0.89906836,0.48153675,0.0,0.44892478,0.86858976,0.8833333,0.89285713,0.8866768,0.48241565,0.0,0.24731186,0.2325407,0.0,0.0,0.33882234,0.12
2023-02-28 16:00:00,0.35294116,0.33333334,0.5384613,0.2857141,0.16981132,0.695652,0.50000006,0.33333334,0.6666667,0.7546012,0.33333334,1.0,0.8571428,0.0,0.45257455,0.89983577,0.09454545,0.8750001,0.91770184,0.5296531,0.0,0.45430106,0.8301282,0.8833333,0.89285713,0.8468605,0.45577267,0.0,0.327957,0.31609124,0.0,0.0,0.32409602,0.1
2023-02-28 18:00:00,0.29411766,0.33333334,0.6153847,0.2857141,0.16981132,0.695652,0.50000006,0.33333334,0.6666667,0.69325155,0.33333334,1.0,0.8571428,0.0,0.4390244,0.90476185,0.09454545,0.8750001,0.91925466,0.5076464,0.0,0.44354838,0.87660253,0.8833333,0.89285713,0.8866768,0.46891654,0.0,0.40860218,0.4015264,0.0,0.0,0.34736258,0.1
2023-02-28 20:00:00,0.35294116,0.33333334,0.69230765,0.2857141,0.16981132,0.73913044,0.50000006,0.33333334,0.6666667,0.63190186,0.6,1.0,0.8571428,0.0,0.44444442,0.9162561,0.09454545,0.8750001,0.9208075,0.5158523,0.0,0.44354838,0.88461536,0.8666666,0.875,0.89280236,0.9449378,0.0,0.49462366,0.49372467,0.0,0.0,0.34468913,0.12
2023-03-01 00:00:00,0.35294116,0.33333334,0.69230765,0.2857141,0.16981132,0.73913044,0.50000006,0.33333334,0.6666667,0.63190186,0.33333334,1.0,0.8571428,0.0,0.42818427,0.8866995,0.09454545,0.8750001,0.89906836,0.5434539,0.0,0.43010753,0.900641,0.8666666,0.89285713,0.9081163,0.66678506,0.0,0.72043014,0.7333493,0.0,0.0,0.3053133,0.1
2023-03-01 02:00:00,0.2352942,0.33333334,0.5384613,0.2857141,0.1509434,0.73913044,0.50000006,0.33333334,0.6666667,0.69325155,0.53333336,1.0,0.8571428,0.0,0.4119241,0.8981937,0.096363634,0.8928572,0.90993786,0.5893323,0.0,0.4139785,0.900641,0.84999996,0.85714287,0.9127105,0.49378332,0.0,0.3387097,0.32738546,0.0,0.0,0.2923326,0.11
