Дата,Блок манифольда|P бм  |кгс/см²,Блок манифольда|t жидкости| °С,С-1|P сеп. |кгс/см²,С-1|t жидкости |°С,С-1|L жидкости| см,С-2|P сеп. |кгс/см²,С-2|t жидкости|°С,С-2|L межфазный|см,С-2|L нефти|см,ОН-1|t жидкости|°С,ОН-1|L межфазный|см,ОН-1|P отс. |кгс/см²,С-3|t жидкости|°С,С-3|L нефти|см,П-1|Т нефти на входе|°С,П-1|Т нефти на выходе|°С,П-1|Р нефти на входе|кгс/см²,П-1|Р нефти на выходе|кгс/см²,П-1|Т теплоно-сителя|°С,П-1|Т дымовых газов|°С,П-1|Р на горелку|кгс/см2,П-2|Т нефти на входе|°С,П-2|Т нефти на выходе|°С,П-2|Р нефти на входе|кгс/см²,П-2|Р нефти на выходе|кгс/см²,П-2|Т теплоно-сителя|°С,П-2|Т дымовых газов|°С,П-2|Р на горелку|кгс/см3,БЕВ-1|L воды|см,БЕВ-1|V воды|м3,БЕВ-1|V нефти,БЕВ-1|t воды
2023-01-09 10:00:00,6.3,15,6,13.9,60,4.2,57,64,75,0.1,52,46,31,9,29.7,57.9,4.9,4.6,60.5,225.3,0.2,27.1,58.3,4.8,4.6,59.9,97.2,0.2,107,32.462,0,33
2023-01-09 12:00:00,6.3,15,6,13.9,60,4.2,57,64,75,0.1,52,46,31,9,28.3,57.9,5,4.7,60.5,117.9,0.2,29.3,59.3,5,4.7,60.7,97.1,0.2,118,37.064,0,33
2023-01-09 14:00:00,6.3,15,5.9,14,63,4.2,57,64,75,0.1,52,46,32,9,29,55.1,5,4.7,57.3,105.8,0.2,29.3,59.3,5,4.7,60.9,112.5,0.2,129,41.741,0,33
2023-01-09 16:00:00,6.3,15,5.8,13.9,64,4.2,57,64,75,0.1,52,48,32,9,29.7,56.4,5,4.8,58.9,111.9,0.2,29.3,59.3,5,4.7,60.6,141.5,0.2,93,26.761,0,33
2023-01-09 18:00:00,6.3,15,5.9,13.9,64,4.2,57,64,75,0.1,52,48,32,9,23.4,55.3,5,4.7,58.5,125.1,0.2,24.9,58.4,5,4.7,60.5,152.7,0.2,102,30.403,0,33
2023-01-09 20:00:00,6.3,15,5.9,13.7,57,4.2,58,64,73,0.1,52,52,32,9,30,57.8,4.9,4.6,60.4,116.8,0.2,30,59,4.9,4.7,60.6,95,0.2,110,33.708,0,33
2023-01-10 00:00:00,6.3,15,6.1,13.7,64,4.2,57,64,73,0.1,52,52,32,9,28,56.8,4.9,4.6,58.6,112.7,0.2,27.5,60,4.9,4.6,61.2,96.8,0.2,134,43.885,0,33
2023-01-10 02:00:00,6.3,15,6,14,66,4.1,43,64,73,1,41,53,24,9,30,57,4.7,4.9,59.5,116.3,0.2,31,59,4.9,4.7,60.3,95.3,0.2,147,49.49,0,33
2023-01-10 04:00:00,6.3,15,5.9,13.6,65,4.1,58,64,72,1,52,53,24,9,28.5,57.7,4.8,4.6,59.3,113.5,0.2,31,59,4.9,4.7,60.4,94.4,0.2,159,54.673,0,33
2023-01-10 06:00:00,6.3,15,5.9,13.6,65,4.2,56.8,63,73,1,50.5,53,24,9,28.8,58.7,4.8,4.7,61.6,138.2,0.2,31,59.3,4.8,4.5,60.4,93.8,0.2,175,61.54,0,33
2023-01-10 08:00:00,6.3,15,6,13.8,65,4.2,58,64,73,1,50.5,53,30,9,17.3,55.3,4.9,4.6,57.6,106.9,0.2,21.3,58.8,5,4.6,60.1,92.1,0.2,190,67.866,0,33
2023-01-10 10:00:00,6.3,15,6,13.8,65,4.2,58,64,73,1,50.5,53,30,9,22.5,55.9,4.9,4.6,57.8,110.5,0.2,25.7,58.6,5,4.6,60.2,95.1,0.2,210,76.008,0,33
2023-01-10 12:00:00,6.3,15,5.8,13.9,65,4.3,58,64,74,1,50.5,53,31,9,27.5,54.7,5.1,4.8,57.3,112.6,0.2,20.5,59.1,5,4.7,60.6,96.6,0.2,156,53.379,0,33
2023-01-10 14:00:00,6.6,15,6.2,14.2,65,4.8,55.9,64,75,1.2,50.5,47,31,9,29.6,56.9,5.4,5.1,61.2,125.3,0.2,28.8,56.9,5.4,5.1,58.5,100.4,0.2,170,59.404,0,33
2023-01-10 16:00:00,6.3,15,5.9,14,65,4.3,55.9,64,75,1,50.5,47,30,9,29.8,56.2,5.1,4.7,61.2,140,0.2,29.9,55.9,5.1,4.7,57.2,99.8,0.2,183,64.932,0,33
2023-01-10 18:00:00,6.3,15,5.9,14,65,4.3,55.9,64,75,1,50.5,47,30,9,29.4,55.7,4.9,4.7,58.5,111.8,0.2,30,58.2,4.8,4.6,59.6,88.2,0.2,105,31.636,0,33
2023-01-10 20:00:00,6.3,15,5.9,13.7,65,4.3,56,64,75,1,51,47,30,9,25,57.1,4.9,4.7,61.7,198.8,0.2,25,59,4.9,4.6,60.8,91,0.2,118,37.064,0,33
2023-01-11 00:00:00,6.3,15,5.9,13.8,65,4.3,58,64,75,1,52,47,30,9,28.7,56.4,4.9,4.6,58.9,115.6,0.2,30,59,4.8,4.6,60.9,91,0.2,142,47.331,0,33
2023-01-11 02:00:00,6.3,15,6,13.8,66,4.1,58,64,75,1,41,53,31,9,28.5,58.1,5,4.7,61.1,122.5,0.2,24.4,59,4.9,4.7,61.3,91.7,0.2,156,53.379,0,33
2023-01-11 04:00:00,6.3,15,6.2,13.7,66,4.2,57.6,64,75,1,41,53,31,9,27.2,54.9,4.9,4.6,57.5,112.2,0.2,25.2,59.8,4.9,4.6,61.7,92.2,0.2,167,58.117,0,33
2023-01-11 06:00:00,6.3,15,6.2,13.7,66,4.2,57.6,64,75,1,41,53,31,9,27.2,54.9,4.9,4.6,57.5,112.2,0.2,25.2,59.8,4.9,4.6,61.7,92.2,0.2,175,61.54,0,33
2023-01-11 08:00:00,6.3,15,6.2,13.7,65,4.2,57.6,64,75,1,41,53,31,9,29.3,55.2,5,4.7,57,110.5,0.2,28.5,61,4.9,4.6,61.9,92,0.2,70,17.932,0,33
2023-01-11 10:00:00,6.3,15,6.2,13.7,65,4.2,57.6,64,75,1,41,53,31,9,29.3,55.2,5,4.7,57,114,0.2,28.5,61,4.9,4.6,61.9,98,0.2,88,24.777,0,33
2023-01-11 12:00:00,6.3,15,6.2,13.7,65,4.2,57.6,64,75,1,41,53,31,9,29.3,55.2,5,4.7,57,114,0.2,28.5,61,4.9,4.6,61.9,98,0.2,101,29.994,0,33
2023-01-11 14:00:00,6.3,15,6,14,65,4.2,57.6,64,75,1,41,53,32,9,28.3,55.3,5,4.7,57.3,113.7,0.2,28,60.7,4.9,4.6,61.8,92.3,0.2,114,35.38,0,33
2023-01-11 16:00:00,6.3,15,6,14,65,4.2,57.6,64,75,1,41,53,32,9,28,55,5,4.7,57,112,0.2,28.3,60.9,4.9,4.6,62,93,0.2,81,22.056,0,33
2023-01-11 18:00:00,6.3,15,6,14,65,4.2,57.6,64,75,1,41,53,32,9,28,55.2,5,4.7,57.3,114.1,0.2,29.4,61,4.9,4.6,62,93,0.2,89,25.172,0,33
2023-01-11 20:00:00,6.3,15,5.9,13.8,66,4.2,57.6,64,75,1,52,53,32,9,29.8,55.5,4.9,4.7,58.4,115.5,0.2,30,59.1,4.9,4.6,61.1,92.4,0.2,105,31.636,0,33
2023-01-12 00:00:00,6.3,15,5.8,13.7,65,4.2,57.6,64,75,1,52,53,32,9,30,54.8,4.9,4.6,57.1,108.7,0.2,28.8,60,4.8,4.6,61.3,90.8,0.2,131,42.598,0,33
2023-01-12 02:00:00,6.3,15,6,13.8,66,4.1,58,64,75,1,41,53,31,9,28.8,57.5,5,4.7,58,102.6,0.2,29,60,5,4.7,61.3,88.9,0.2,142,47.331,0,33
2023-01-12 04:00:00,6.3,15,6,13.7,65,4.2,58,64,75,1,52,53,31,9,27,60,5,4.7,60.4,112.5,0.2,28.6,58.7,4.9,4.7,61.2,89.9,0.2,155,52.947,0,33
2023-01-12 06:00:00,6.3,15,6,13.6,65,4.2,58,64,75,1,52,53,31,9,27.4,57.1,5,4.7,57.7,105.9,0.2,30,60,4.9,4.6,61.4,91.1,0.2,164,56.828,0,33
2023-01-12 08:00:00,6.3,15,6,13.6,65,4.2,58,64,75,1,52,53,31,9,27.4,57,5,4.7,60.2,107,0.2,30,60.4,4.9,4.6,61.7,92,0.2,119,37.486,0,33
2023-01-12 10:00:00,6.3,15,6,13.6,65,4.2,58,64,75,1,52,53,31,9,17.8,56.1,5,4.7,58.3,111.8,0.2,21.7,60.4,5,4.7,61.7,92,0.2,150,50.786,0,33
2023-01-12 12:00:00,6.3,15,6,13.6,77,4.2,58,64,80,1,52,53,31,9,17.8,56.5,5,4.7,58.7,112,0.2,22,60.1,5,4.7,61,95,0.2,167,58.117,0,33
2023-01-12 14:00:00,6.3,15,6,13.6,67,4.2,58,64,75,1,52,53,31,9,19.2,55.2,5,4.7,57.9,102.7,0.2,26.2,56.6,5.1,4.8,59.3,129.2,0.2,180,63.664,0,33
2023-01-12 16:00:00,6.3,15,6,13.6,65,4.2,58,64,75,1,52,53,31,9,19.2,55,5,4.7,58,104,0.2,26.2,57,5,4.7,60,130,0.2,145,48.626,0,33
2023-01-12 18:00:00,6.3,15,6,13.6,65,4.2,58,64,75,1,52,53,30,9,26.9,56,5,4.7,58.8,104.1,0.2,27.5,57.5,4.9,4.7,59.5,129.9,0.2,163,56.397,0,33
2023-01-12 20:00:00,6.3,15,6,13.6,65,4.2,58,64,75,1,52,53,30,9,27.9,56.6,5.1,4.8,57.5,99.7,0.2,28.5,58.9,5,4.7,60.9,90.5,0.2,171,59.832,0,33
