,Место отбора,"Сод. Cl соед., мг/дм3",Дата
320,КСУ БЕН-5,78.7,2022-02-22 22:00:00
321,КСУ БЕН-4,111.8,2022-02-23 04:00:00
322,АСН-6,77.8,2022-02-23 08:50:00
323,КСУ БЕН-1,125.9,2022-02-23 10:00:00
324,КСУ БЕН-4,148.7,2022-02-23 16:00:00
325,КСУ БЕН-1,169.7,2022-02-23 22:00:00
326,КСУ БЕН-5,174.9,2022-02-24 04:00:00
327,КСУ БЕН-2,218.5,2022-02-24 10:00:00
328,АСН-6,138.6,2022-02-24 12:35:00
329,КСУ БЕН-4,173.4,2022-02-24 16:00:00
330,КСУ-БЕН-2,101.5,2022-02-24 22:00:00
331,КСУ-БЕН-5,130.9,2022-02-25 04:00:00
332,АСН-6,85.6,2022-02-25 09:20:00
333,КСУ-БЕН-2,130.6,2022-02-25 10:00:00
334,КСУ-БЕН-6,150.1,2022-02-25 16:00:00
335,КСУ-БЕН-3,121.3,2022-02-25 22:00:00
336,КСУ-БЕН-1,94.5,2022-02-26 04:00:00
337,АСН-6,62.2,2022-02-26 09:15:00
338,КСУ-БЕН-5,81.4,2022-02-26 10:00:00
339,КСУ-БЕН-2,111.5,2022-02-26 16:00:00
340,КСУ-БЕН-5,137.9,2022-02-26 22:00:00
341,КСУ-БЕН-2,118.1,2022-02-27 04:00:00
342,КСУ-БЕН-6,127,2022-02-27 10:00:00
343,АСН-6,77.2,2022-02-27 10:55:00
344,КСУ-БЕН-3,148.1,2022-02-27 16:00:00
345,КСУ-БЕН-6,112.2,2022-02-27 22:00:00
346,КСУ-БЕН-3,120.6,2022-02-28 04:00:00
347,АСН-6,76.2,2022-02-28 08:55:00
348,КСУ-БЕН-1,126.1,2022-02-28 10:00:00
349,КСУ-БЕН-4,131.7,2022-02-28 16:00:00
350,КСУ-БЕН-1,82.3,2022-02-28 22:00:00
351,КСУ-БЕН-4,120.2,2022-03-01 04:00:00
352,КСУ-БЕН-1,143.9,2022-03-01 10:00:00
353,АСН-6,71.1,2022-03-01 11:20:00
354,КСУ-БЕН-4,111.7,2022-03-01 16:00:00
355,КСУ-БЕН-1,110.8,2022-03-01 22:00:00
356,КСУ-БЕН-5,167.9,2022-03-02 04:00:00
357,КСУ-БЕН-2,136.9,2022-03-02 10:00:00
358,АСН-6,52.2,2022-03-02 13:00:00
359,КСУ-БЕН-5,168.9,2022-03-02 16:00:00
360,КСУ-БЕН-2,122,2022-03-02 22:00:00
361,КСУ-БЕН-5,139,2022-03-03 04:00:00
362,КСУ-БЕН-2,155.1,2022-03-03 10:00:00
363,АСН-6,100.3,2022-03-03 11:10:00
364,КСУ-БЕН-5,117.5,2022-03-03 16:00:00
365,КСУ-БЕН-2,153.2,2022-03-03 22:00:00
366,КСУ-БЕН-5,174.8,2022-03-04 04:00:00
367,АСН-6,100.8,2022-03-04 09:00:00
368,КСУ-БЕН-2,134.5,2022-03-04 10:00:00
369,КСУ-БЕН-5,113.3,2022-03-04 16:00:00
370,КСУ-БЕН-3,106.9,2022-03-04 22:00:00
371,КСУ-БЕН-6,108,2022-03-05 04:00:00
372,АСН-6,93.2,2022-03-05 09:00:00
373,КСУ-БЕН-3,197.6,2022-03-05 10:00:00
374,КСУ-БЕН-6,153.9,2022-03-05 16:00:00
375,КСУ-БЕН-3,75.2,2022-03-05 22:00:00
376,КСУ-БЕН-5,108.2,2022-03-06 04:00:00
377,КСУ-БЕН-2,204.3,2022-03-06 10:00:00
378,АСН-6,73.6,2022-03-06 11:45:00
379,КСУ-БЕН-4,224.7,2022-03-06 14:45:00
380,АСН-6,121.8,2022-03-06 15:15:00
381,КСУ-БЕН-4,142.4,2022-03-06 16:00:00
382,АСН-6,114.2,2022-03-06 20:40:00
383,КСУ-БЕН-2,171.4,2022-03-06 22:00:00
384,КСУ-БЕН-5,163.6,2022-03-07 04:00:00
385,АСН-6,110.4,2022-03-07 08:20:00
386,КСУ-БЕН-2,145.7,2022-03-07 10:00:00
387,КСУ-БЕН-5,190,2022-03-07 16:00:00
388,КСУ-БЕН-3,203.4,2022-03-07 22:00:00
389,КСУ-БЕН-6,183.9,2022-03-08 04:00:00
390,АСН-6,87.7,2022-03-08 08:45:00
391,КСУ-БЕН-3,156,2022-03-08 10:00:00
392,КСУ БЕН-6,186,2022-03-08 16:00:00
393,АСН-6,40.9,2022-03-08 18:50:00
394,КСУ-БЕН-3,132.4,2022-03-08 22:00:00
395,КСУ-БЕН-6,175.7,2022-03-09 04:00:00
396,АСН-6,104.5,2022-03-09 07:30:00
397,КСУ БЕН-4,179,2022-03-09 10:00:00
398,КСУ БЕН-1,175.4,2022-03-09 16:00:00
399,АСН-6,78,2022-03-09 19:20:00
400,КСУ-БЕН-1,111.5,2022-03-10 04:00:00
401,КСУ БЕН-4,136.4,2022-03-10 10:00:00
402,АСН-6,82.3,2022-03-10 10:20:00
403,КСУ БЕН-1,118.9,2022-03-10 16:00:00
404,АСН-6,84.8,2022-03-10 19:01:00
405,КСУ -БЕН-4,149,2022-03-10 22:00:00
406,КСУ БЕН-1,120.7,2022-03-11 04:00:00
407,АСН-4,91.8,2022-03-11 08:45:00
408,КСУ БЕН-5,170.3,2022-03-11 10:00:00
409,КСУ БЕН-2,111.5,2022-03-11 16:00:00
410,АСН-6,41.8,2022-03-11 18:50:00
411,КСУ БЕН-5,109.1,2022-03-11 22:00:00
412,КСУ БЕН-2,130.8,2022-03-12 04:00:00
413,КСУ БЕН-5,160.2,2022-03-12 10:00:00
414,АСН-6,87.7,2022-03-12 10:50:00
415,КСУ БЕН-2,149.1,2022-03-12 16:00:00
416,АСН-6,79,2022-03-12 18:40:00
417,КСУ БЕН-5,146.4,2022-03-12 22:00:00
418,КСУ БЕН-2,172.4,2022-03-13 04:00:00
419,АСН-6,135.5,2022-03-13 08:30:00
420,КСУ БЕН-5,163.1,2022-03-13 10:00:00
421,КСУ БЕН-2,218,2022-03-13 16:00:00
422,КСУ БЕН-3,161.2,2022-03-13 18:00:00
423,АСН-6,97.5,2022-03-13 21:06:00
424,КСУ БЕН-5,165.2,2022-03-13 22:00:00
425,КСУ БЕН-1,168.4,2022-03-14 04:00:00
426,КСУ БЕН-4,178.5,2022-03-14 10:00:00
427,АСН-6,153,2022-03-14 10:10:00
428,КСУ БЕН-1,160.7,2022-03-14 16:00:00
429,АСН-6,77.7,2022-03-14 19:00:00
430,КСУ БЕН-4,173.5,2022-03-14 22:00:00
431,КСУ БЕН-6,118.8,2022-03-15 04:00:00
432,АСН-6,91.5,2022-03-15 07:40:00
433,КСУ БЕН-3,184.6,2022-03-15 10:00:00
434,КСУ БЕН-6,199.9,2022-03-15 16:00:00
435,АСН-6,53.7,2022-03-15 20:20:00
436,КСУ БЕН-3,141.8,2022-03-15 22:00:00
437,КСУ БЕН-6,109.9,2022-03-16 04:00:00
438,КСУ БЕН-4,119.4,2022-03-16 10:00:00
439,АСН-6,68.5,2022-03-16 14:30:00
440,КСУ БЕН-6,149.5,2022-03-16 16:00:00
441,АСН-6,65.5,2022-03-16 20:55:00
442,КСУ БЕН-3,162.7,2022-03-16 22:00:00
443,КСУ БЕН-5,152.3,2022-03-17 04:00:00
444,КСУ БЕН-2,147.7,2022-03-17 10:00:00
445,КСУ БЕН-5,103.3,2022-03-17 16:00:00
446,АСН-5,137.8,2022-03-17 16:15:00
447,АСН-5,81.4,2022-03-17 19:25:00
448,КСУ БЕН-3,97.4,2022-03-17 22:00:00
449,КСУ БЕН-5,115.3,2022-03-18 04:00:00
450,АСН-6,62.2,2022-03-18 06:30:00
451,КСУ БЕН-2,154.6,2022-03-18 10:00:00
452,КСУ БЕН-4,175,2022-03-18 16:00:00
453,АСН-6,88.6,2022-03-18 18:30:00
454,КСУ БЕН-1,118.5,2022-03-18 22:00:00
455,КСУ БЕН-4,170,2022-03-19 04:00:00
456,АСН-6,75.7,2022-03-19 07:30:00
457,КСУ БЕН-1,166.5,2022-03-19 10:00:00
458,КСУ БЕН-4,162.2,2022-03-19 16:00:00
459,АСН-6,77.7,2022-03-19 19:30:00
460,КСУ БЕН-1,140.8,2022-03-19 22:00:00
461,КСУ БЕН-3,108.1,2022-03-20 04:00:00
462,АСН-6,88.1,2022-03-20 08:25:00
463,КСУ БЕН-6,155.4,2022-03-20 10:00:00
464,КСУ БЕН-2,145.6,2022-03-20 16:00:00
465,АСН-6,89.1,2022-03-20 19:30:00
466,КСУ БЕН-6,118.2,2022-03-20 22:00:00
467,КСУ БЕН-3,136.7,2022-03-21 04:00:00
468,АСН-6,82.3,2022-03-21 07:15:00
469,КСУ БЕН-6,129.4,2022-03-21 10:00:00
470,КСУ БЕН-2,169.2,2022-03-21 16:00:00
471,АСН-6,95.2,2022-03-21 19:30:00
472,КСУ БЕН-5,105,2022-03-21 22:00:00
473,КСУ БЕН-2,121.1,2022-03-22 04:00:00
474,КСУ БЕН-5,109,2022-03-22 10:00:00
475,АСН-6,48.4,2022-03-22 14:25:00
476,КСУ БЕН-2,125.4,2022-03-22 16:00:00
477,АСН-6,62.3,2022-03-22 18:30:00
478,КСУ БЕН-4,112.8,2022-03-22 22:00:00
479,КСУ БЕН-1,97.9,2022-03-23 04:00:00
480,КСУ БЕН-4,103.3,2022-03-23 10:00:00
481,АСН-6,54.6,2022-03-23 10:10:00
482,КСУ БЕН-1,124.6,2022-03-23 16:00:00
483,АСН-6,63.9,2022-03-23 20:50:00
484,КСУ БЕН-4,133.5,2022-03-23 22:00:00
